configuration	term	J	energy
1s2.2s2	1S	0	0.0
1s2.2s.2p	3P*	0	0.47720379999999996
1s2.2s.2p	3P*	1	0.4774196
1s2.2s.2p	3P*	2	0.47793320000000006
1s2.2s.2p	1P*	1	0.9327004000000001
1s2.2p2	3P	0	1.2523151000000001
1s2.2p2	3P	1	1.2525766999999999
1s2.2p2	3P	2	1.2530105
1s2.2p2	1D	2	1.3293211
1s2.2p2	1S	0	1.6632435
1s2.2s.3s	3S	1	2.1707566000000003
1s2.2s.3s	1S	0	2.2523811
1s2.2s.3p	1P*	1	2.3595555
1s2.2s.3p	3P*	0	2.3666111
1s2.2s.3p	3P*	1	2.3666628
1s2.2s.3p	3P*	2	2.366782
1s2.2s.3d	3D	1	2.4605197
1s2.2s.3d	3D	2	2.4605297999999998
1s2.2s.3d	3D	3	2.4605554
1s2.2s.3d	1D	2	2.5194972
1s2.2p.(2P*).3s	3P*	0	2.8086761
1s2.2p.(2P*).3s	3P*	1	2.8089708
1s2.2p.(2P*).3s	3P*	2	2.8095939
1s2.2s.4s	3S	1	2.8199812
1s2.2p.(2P*).3s	1P*	1	2.8249854
1s2.2s.4s	1S	0	2.8406154
1s2.2s.4p	3P*	0	2.8959544
1s2.2s.4p	3P*	1	2.8959749
1s2.2s.4p	3P*	2	2.8960185000000003
1s2.2p.(2P*).3p	1P	1	2.9135062
1s2.2s.4d	3D	1	2.9289153999999997
1s2.2s.4d	3D	2	2.929056
1s2.2s.4d	3D	3	2.9292683999999998
1s2.2s.4f	3F*	2	2.9343133999999997
1s2.2s.4f	3F*	3	2.9343672
1s2.2s.4f	3F*	4	2.9344437
1s2.2s.4p	1P*	1	2.9379632
1s2.2s.4f	1F*	3	2.9406772
1s2.2p.(2P*).3p	3D	1	2.9440932
1s2.2p.(2P*).3p	3D	2	2.9443162
1s2.2p.(2P*).3p	3D	3	2.9446714
1s2.2s.4d	1D	2	2.9544416
1s2.2p.(2P*).3p	3S	1	2.982379
1s2.2p.(2P*).3p	3P	0	3.0043142000000005
1s2.2p.(2P*).3p	3P	1	3.0045064
1s2.2p.(2P*).3p	3P	2	3.0048445
1s2.2p.(2P*).3d	1D*	2	3.0317060000000002
1s2.2p.(2P*).3p	1D	2	3.0355965
1s2.2p.(2P*).3d	3F*	2	3.038046
1s2.2p.(2P*).3d	3F*	3	3.0382696
1s2.2p.(2P*).3d	3F*	4	3.0385948
1s2.2p.(2P*).3d	3D*	1	3.0769477000000003
1s2.2p.(2P*).3d	3D*	2	3.0770652999999997
