ritz_wl_vac(A)	intens	Aki(s^-1)	fik	Acc	Ei(Ry)	Ek(Ry)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"1589.173"	""	"4.44e+07"	"5.04e-02"	E	"0.00000000"	"0.5734221"	"3s2.3p2"	"3P"	"0"	"3s2.3p.6d"	"3D*"	"1"		"T6066LS"	""	
"1591.123"	""	"3.32e+07"	"1.26e-02"	E	"0.00070272"	"0.5734221"	"3s2.3p2"	"3P"	"1"	"3s2.3p.6d"	"3D*"	"1"		"T6066LS"	""	
"1594.566"	""	"7.91e+07"	"4.22e-02"	D	"0.00203356"	"0.5735163"	"3s2.3p2"	"3P"	"2"	"3s2.3p.6d"	"3D*"	"3"		"T6066LS"	""	
"1594.829"	""	"2.19e+06"	"5.02e-04"	E	"0.00203356"	"0.5734221"	"3s2.3p2"	"3P"	"2"	"3s2.3p.6d"	"3D*"	"1"		"T6066LS"	""	
"1594.950"	""	"5.92e+07"	"3.76e-02"	E	"0.00070272"	"0.5720478"	"3s2.3p2"	"3P"	"1"	"3s2.3p.6d"	"3D*"	"2"		"T6066LS"	""	
"1598.674"	""	"1.96e+07"	"7.51e-03"	E	"0.00203356"	"0.5720478"	"3s2.3p2"	"3P"	"2"	"3s2.3p.6d"	"3D*"	"2"		"T6066LS"	""	
"1625.705"	"30"	"7.16e+07"	"8.51e-02"	E	"0.00000000"	"0.5605365"	"3s2.3p2"	"3P"	"0"	"3s2.3p.5d"	"3D*"	"1"		"T8363"	"L3521"	
"1627.746"	""	"5.34e+07"	"2.12e-02"	E	"0.00070272"	"0.5605365"	"3s2.3p2"	"3P"	"1"	"3s2.3p.5d"	"3D*"	"1"		"T8363"	""	
"1629.441"	"300"	"8.73e+07"	"5.79e-02"	C	"0.00070272"	"0.5599541"	"3s2.3p2"	"3P"	"1"	"3s2.3p.5d"	"3D*"	"2"		"T5071"	"L3521"	
"1629.948"	""	"2.11e+08"	"1.18e-01"	C	"0.00203356"	"0.56111099"	"3s2.3p2"	"3P"	"2"	"3s2.3p.5d"	"3D*"	"3"		"T5071"	""	
"1631.624"	""	"3.54e+06"	"8.48e-04"	E	"0.00203356"	"0.5605365"	"3s2.3p2"	"3P"	"2"	"3s2.3p.5d"	"3D*"	"1"		"T8363"	""	
"1633.328"	""	"1.12e+07"	"4.48e-03"	D	"0.00203356"	"0.5599541"	"3s2.3p2"	"3P"	"2"	"3s2.3p.5d"	"3D*"	"2"		"T5071"	""	
"1660.475"	""	"7.67e+06"	"5.28e-03"	D	"0.00070272"	"0.54950187"	"3s2.3p2"	"3P"	"1"	"3s2.3p.5d"	"1D*"	"2"		"T5071"	""	
"1666.376"	"50"	"1.75e+07"	"2.19e-02"	D	"0.00000000"	"0.54685553"	"3s2.3p2"	"3P"	"0"	"3s2.3p.nd"	"a 3P*"	"1"		"T5071"	"L3521"	
"1667.629"	"100"	"8.27e+07"	"1.15e-02"	E	"0.00070272"	"0.5471475"	"3s2.3p2"	"3P"	"1"	"3s2.3p.nd"	"a 3P*"	"0"		"T8363"	"L3521"	
"1668.520"	"100"	"2.58e+07"	"1.08e-02"	D	"0.00070272"	"0.54685553"	"3s2.3p2"	"3P"	"1"	"3s2.3p.nd"	"a 3P*"	"1"		"T5071"	"L3521"	
"1671.117"	""	"8.30e+06"	"5.79e-03"	D	"0.00070272"	"0.54600694"	"3s2.3p2"	"3P"	"1"	"3s2.3p.nd"	"a 3P*"	"2"		"T5071"	""	
"1672.596"	"100"	"3.09e+07"	"7.78e-03"	D+	"0.00203356"	"0.54685553"	"3s2.3p2"	"3P"	"2"	"3s2.3p.nd"	"a 3P*"	"1"		"T5071"	"L3521"	
"1675.205"	"200"	"6.41e+07"	"2.70e-02"	C	"0.00203356"	"0.54600694"	"3s2.3p2"	"3P"	"2"	"3s2.3p.nd"	"a 3P*"	"2"		"T5071"	"L3521"	
"1689.44"	""	"2.20e+01"	""	D	"0.00000000"	"0.53938874"	"3s2.3p2"	"3P"	"0"	"3s2.3p.(2P*<3/2>).4f"	"2[3/2]"	"2"	E2	"T5785"	""	
"1691.648"	""	"4.38e+00"	""	D	"0.00070272"	"0.53938874"	"3s2.3p2"	"3P"	"1"	"3s2.3p.(2P*<3/2>).4f"	"2[3/2]"	"2"	E2	"T5785"	""	
"1691.665"	""	"8.62e+01"	""	D+	"0.00070272"	"0.5393832"	"3s2.3p2"	"3P"	"1"	"3s2.3p.(2P*<3/2>).4f"	"2[3/2]"	"1"	E2	"T5785"	""	
"1691.74"	""	"1.31e-02"	""	E	"0.00000000"	"0.53865808"	"3s2.3p2"	"3P"	"0"	"3s2.3p.(2P*<3/2>).4f"	"2[5/2]"	"2"	E2	"T5785"	""	
"1693.293"	"50"	"6.75e+07"	"8.71e-02"	D+	"0.00000000"	"0.53816250"	"3s2.3p2"	"3P"	"0"	"3s2.3p.4d"	"3D*"	"1"		"T5071"	"L3521"	
"1693.945"	""	"3.20e+01"	""	D+	"0.00070272"	"0.53865808"	"3s2.3p2"	"3P"	"1"	"3s2.3p.(2P*<3/2>).4f"	"2[5/2]"	"2"	E2	"T5785"	""	
"1693.972"	""	"4.31e+00"	""	D	"0.00070272"	"0.53864958"	"3s2.3p2"	"3P"	"1"	"3s2.3p.(2P*<3/2>).4f"	"2[5/2]"	"3"	E2	"T5785"	""	
"1695.507"	"50"	"3.97e+07"	"1.71e-02"	D+	"0.00070272"	"0.53816250"	"3s2.3p2"	"3P"	"1"	"3s2.3p.4d"	"3D*"	"1"		"T5071"	"L3521"	
"1695.837"	""	"3.55e+01"	""	D+	"0.00203356"	"0.53938874"	"3s2.3p2"	"3P"	"2"	"3s2.3p.(2P*<3/2>).4f"	"2[3/2]"	"2"	E2	"T5785"	""	
"1695.855"	""	"2.84e+01"	""	D	"0.00203356"	"0.5393832"	"3s2.3p2"	"3P"	"2"	"3s2.3p.(2P*<3/2>).4f"	"2[3/2]"	"1"	E2	"T5785"	""	
"1696.126"	""	"1.97e+01"	""	D	"0.00070272"	"0.53796639"	"3s2.3p2"	"3P"	"1"	"3s2.3p.(2P*<3/2>).4f"	"2[7/2]"	"3"	E2	"T5785"	""	
"1696.207"	"200"	"1.22e+08"	"8.77e-02"	C	"0.00070272"	"0.5379409"	"3s2.3p2"	"3P"	"1"	"3s2.3p.4d"	"3D*"	"2"		"T5071"	"L3521"	
"1697.941"	"200"	"1.38e+08"	"8.34e-02"	C	"0.00203356"	"0.5387231"	"3s2.3p2"	"3P"	"2"	"3s2.3p.4d"	"3D*"	"3"		"T5071"	"L3521"	
"1698.146"	""	"4.09e+01"	""	D+	"0.00203356"	"0.53865808"	"3s2.3p2"	"3P"	"2"	"3s2.3p.(2P*<3/2>).4f"	"2[5/2]"	"2"	E2	"T5785"	""	
"1698.173"	""	"1.04e+02"	""	D+	"0.00203356"	"0.53864958"	"3s2.3p2"	"3P"	"2"	"3s2.3p.(2P*<3/2>).4f"	"2[5/2]"	"3"	E2	"T5785"	""	
"1699.716"	""	"1.80e+06"	"4.69e-04"	E	"0.00203356"	"0.53816250"	"3s2.3p2"	"3P"	"2"	"3s2.3p.4d"	"3D*"	"1"		"T5071"	""	
"1700.338"	""	"9.65e+00"	""	D	"0.00203356"	"0.53796639"	"3s2.3p2"	"3P"	"2"	"3s2.3p.(2P*<3/2>).4f"	"2[7/2]"	"3"	E2	"T5785"	""	
"1700.419"	"50"	"3.12e+07"	"1.35e-02"	D+	"0.00203356"	"0.5379409"	"3s2.3p2"	"3P"	"2"	"3s2.3p.4d"	"3D*"	"2"		"T5071"	"L3521"	
"1700.64"	"30"	"3.06e+07"	"3.98e-02"	D+	"0.00000000"	"0.53583896"	"3s2.3p2"	"3P"	"0"	"3s2.3p.4d"	"1P*"	"1"		"T5071"	"L3521"	
"1702.869"	"30"	"1.88e+07"	"8.18e-03"	D	"0.00070272"	"0.53583896"	"3s2.3p2"	"3P"	"1"	"3s2.3p.4d"	"1P*"	"1"		"T5071"	"L3521"	
"1704.442"	"50"	"2.61e+07"	"1.59e-02"	D+	"0.00203356"	"0.5366761"	"3s2.3p2"	"3P"	"2"	"3s2.3p.4d"	"1F*"	"3"		"T5071"	"L3521"	
"1707.115"	""	"1.21e+06"	"3.17e-04"	E	"0.00203356"	"0.53583896"	"3s2.3p2"	"3P"	"2"	"3s2.3p.4d"	"1P*"	"1"		"T5071"	""	
"1769.786"	""	"2.65e+07"	"1.74e-02"	D+	"0.05739934"	"0.5723018"	"3s2.3p2"	"1D"	"2"	"3s2.3p.6d"	"1F*"	"3"		"T5071"	""	
"1772.225"	""	"2.39e+05"	"1.87e-04"	E	"0.00070272"	"0.51489637"	"3s2.3p2"	"3P"	"1"	"3s2.3p.4d"	"1D*"	"2"		"T5071"	""	
"1776.824"	"100w"	"5.83e+06"	"2.76e-03"	D	"0.00203356"	"0.51489637"	"3s2.3p2"	"3P"	"2"	"3s2.3p.4d"	"1D*"	"2"		"T5071"	"L3521"	
"1809.105"	"50w"	"6.83e+07"	"4.69e-02"	C	"0.05739934"	"0.56111099"	"3s2.3p2"	"1D"	"2"	"3s2.3p.5d"	"3D*"	"3"		"T5071"	"L3521"	
"1813.269"	""	"1.04e+06"	"5.14e-04"	E	"0.05739934"	"0.5599541"	"3s2.3p2"	"1D"	"2"	"3s2.3p.5d"	"3D*"	"2"		"T5071"	""	
"1814.079"	"500w"	"1.15e+08"	"7.96e-02"	C	"0.05739934"	"0.5597297"	"3s2.3p2"	"1D"	"2"	"3s2.3p.5d"	"1F*"	"3"		"T5071"	"L3521"	
"1836.510"	"200"	"1.31e+07"	"1.10e-02"	D+	"0.00070272"	"0.49689770"	"3s2.3p2"	"3P"	"1"	"3s2.3p.5s"	"3P*"	"2"		"T5071"	"L3521"	
"1841.152"	"100w"	"1.50e+07"	"2.29e-02"	D	"0.00000000"	"0.49494393"	"3s2.3p2"	"3P"	"0"	"3s2.3p.5s"	"3P*"	"1"		"T5071"	"L3521"	
